City,2009_Population,2009_Violent_crime,2009_Murder_and_nonnegligent_manslaughter,2009_Rape,2009_Robbery,2009_Aggravated_assault,2009_Property_crime,2009_Burglary,2009_Larceny_theft,2009_Motor_vehicle_theft,2009_Arson
Watertown,23066,90,0,7,8,75,426,79,341,6,14
Waukesha,68248,109,2,15,27,65,1163,251,871,41,10
Waunakee,11569,12,0,1,1,10,112,33,75,4,0
Waupaca,5837,17,0,0,0,17,206,32,172,2,1
Waupun,10441,13,1,5,1,6,268,74,193,1,0
Wausau,37459,128,2,18,10,98,995,257,705,33,16
Wautoma,2122,9,0,0,0,9,55,7,45,3,0
Wauwatosa,44777,88,1,2,54,31,1820,255,1516,49,0
West Allis,59240,206,2,7,98,99,3082,537,2356,189,19
West Bend,30070,34,1,1,7,25,804,39,754,11,4
Westfield,1174,4,0,1,0,3,17,2,14,1,0
West Salem,4829,1,0,1,0,0,98,12,84,2,0
Whitefish Bay,13527,2,0,0,2,0,214,11,200,3,0
Whitehall,1593,0,0,0,0,0,42,2,40,0,0
Whitewater,14380,18,0,2,3,13,363,57,299,7,0
Williams Bay,2734,2,0,1,1,0,31,3,28,0,0
Winneconne,2469,3,0,0,0,3,36,8,28,0,1
Wisconsin Dells,2474,35,0,2,3,30,314,20,292,2,0
Wisconsin Rapids,17020,14,0,4,6,4,956,225,712,19,1
Woodruff,1895,1,0,0,0,1,42,4,37,1,0
